id,date,podcast_id,episode,link,duration
22,26/05/2023,13,Green Energy Will Be Bigger Than The Internet,https://open.spotify.com/episode/16kvCysUEMzDjtX4AN9JyN?si=1fe2d73b4d9c4978,41
23,27/05/2023,13,Using Nature For Packaging,https://open.spotify.com/episode/0tX2jG21n6fB61xStUwmzI?si=9dfee7273ef245c8,34
24,11/06/2023,5,The Ashes Preview,https://open.spotify.com/episode/5Der7JAMbrboX1duZihfoJ?si=12269b24996844d4,37
25,20/06/2023,5,The Wait Is Over,https://open.spotify.com/episode/5VhZX3Eg89J7nXzFYRsBPl?si=7931ff35158b4a87,46
26,20/06/2023,1,Sleep Toolkit: Tools for Optimizing Sleep & Sleep-Wake Timing,https://open.spotify.com/episode/3TxjF2mZy9S9I9GL5eZ8sq?si=fd14be2e978c4aca,99
27,21/06/2023,5,Edgbaston (What a Test Match!),https://open.spotify.com/episode/1TuNv3dQmnk8Mkyba9ZnWm?si=19fc4a4a3b38497c,54
28,02/07/2023,11,Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI,https://open.spotify.com/episode/28yFp9dzo61CiOf0Ejxxhe?si=344ba88318d64cf2,208
29,04/07/2023,1,Dr. David Spiegel: Using Hypnosis to Enhance Health & Performance,https://open.spotify.com/episode/7D4AMFgSu30RYOXHpDULrD?si=1d34ac3a470c4731,109
30,16/07/2023,11,Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI,https://open.spotify.com/episode/6rAOusZcsuNtCv8mefmwND?si=32d35cd20c964b41,143
31,22/07/2023,1,How To Enhance Performance & Learning by Applying a Growth Mindset,https://open.spotify.com/episode/727AkttspFFAjfm8D9fBB5?si=bd6045c1fd2b4a85,101
32,22/07/2023,6,Plant-Based Burgers Aren't Denting People's Beef Addiction,https://open.spotify.com/episode/4T33kATQe3l8lHp4t8HE1E?si=f35022be19e84c58,42
33,03/08/2023,14,The health benefits of eating together,https://open.spotify.com/episode/0FozRc7X3739NKzr6BFpSi?si=64e2f9ecd2634f22,13
